Name,Type,Year,Episodes,Genres,Synopsis,Rating,Members,Studio,Source,Theme,Demographic
Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,TV, 2013,25,"['Action', 'Mystery']","""Are puzzles really necessary in this world?""In order to restore Jin's memory, Kaito and his friends go on a puzzle-viewing journey to England. As they're walking through the underground maze beneath the church, where young Kaito and Rook first met Jin, a mysterious girl appears in front of them.Jin calls the girl by the name ""Raetsel"". It seems they know each other. However, she suddenly disappears and takes Jin with her. What's more, the traps in the underground maze are activated and start coming after Kaito and his friends.(Source: www9.nhk.or.jp)",7.25,34595,Sunrise,Original,"['High Stakes Game', 'Strategy Game']",Shounen
Major: World Series,OVA, 2011,2,"['Comedy', 'Drama', 'Sports']","Gorou Shigeno's journey with the Indiana Hornets continues as they seek to win the prestigious World Series. However, after an unexpected accident during the match with his fated rival, his quest in becoming the world's best becomes more challenging. Undaunted, Gorou continues to put the weight of his dreams into every pitch he makes, and forges a path towards his desired future through high-speed pitching.[Written by MAL Rewrite]",8.30,34271,SynergySP,Manga,Team Sports,Shounen
Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,OVA, 2008,7,['Sports'],"After their victory over Shitenhouji Middle School in the semifinals, Ryouma Echizen and the Seishun Academy Boys Tennis Team must now face off against the two-time defending champions of Rikkai University-Affiliated Middle School in order to claim the national title. Rikkai is not only seeking revenge for its team's previous loss to Seishun at the Kanto Regional Tournament, but they also are aiming to win the national title for a third consecutive year.In the conclusion of Tennis no Ouji-sama, the titular ""Prince of Tennis"" is pitted against the ""Child of God"" in a head-to-head battle for the national championship title. Along the way, Ryouma must teach his opponents and teammates that there is more to tennis than winning.[Written by MAL Rewrite]",7.97,34185,M.S.C,Manga,,Shounen
One Piece: Taose! Kaizoku Ganzack,OVA, 1998,1,"['Action', 'Adventure', 'Fantasy']","While Luffy and his crew of Zoro and Nami are starving on their small boat, they are attacked by a large monster. Nami is taken away, while Luffy and Zoro wash up on shore. There they meet a young girl, Medaka, and learn of the sad history of the island. The evil Pirate Ganzack has taken away all the men in the village and enslaved them, including Medaka's father. Now Luffy, Zoro, and Medaka must infiltrate Ganzack's base in order to rescue the villagers and Nami. (Source: ANN)",6.71,34162,Production I.G,Manga,,Shounen
Nozo x Kimi,OVA, 2014,3,"['Comedy', 'Romance', 'Ecchi']","Suga Kimio finds himself hiding in the girls locker room, unable to move or escape the situation as the girls in his school crowd in. Although he originally had no ulterior motives, he found himself panicking as he heard the girls coming in and hid in a locker. Komine Nozomi, one of the shy girls in his class finds him, but surprisingly covers for him. Perplexed but glad, Kimio goes home.Later that night, he gets a text from Nozomi who happens to live across the way on the same floor of the complex they both live in. She blackmails him into agreeing to show each other's bodies when she texts him. Kimio has to abide by Nozomi's insane demands or risk ruining his school life so they both start their little peep show through each other's windows...(Source: MangaHelpers)",6.39,33991,Zexcs,Manga,School,Shounen
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,Special, 2017,1,"['Action', 'Adventure', 'Fantasy']","The words that Gold Roger, the King of the Pirates, uttered just before his death excited the masses and the world has entered a Great Pirate Era! There is a group of young pirates who are about to set sail on the Grand Line. Monkey D. Luffy, a rubber man. Roronoa Zoro aka “Pirate Hunter.” Usopp, a sniper. Sanji, a seafaring cook. And “Cat Burglar” Nami. They, the Straw Hats, all place a foot upon a barrel and make their vows before their next journey across the great ocean. Luffy shouts “In order to be the King of the Pirates!” A decade ago in the Windmill Village... A little boy Luffy was enthralled with a pirate boss Red-Haired Shanks. But a group of mountain bandits shows up and makes fun of the pirates. “Why didn't you fight them?!” Luffy yells out angrily but Shanks says that it's nothing worth getting mad over. At that time, Luffy snatches the Gum-Gum Fruit from a treasure box and eats it and as a result, his entire body becomes rubber and he loses the ability to swim for the rest of his life! A few days later, Luffy is surrounded by the mountain bandits again and Shanks comes to help. “No matter what the reason, anyone who hurts my friends has to pay!!” Shanks and his pirate crew are incredibly strong and they beat down the mountain bandits. Higuma, the head of the mountain bandits, runs away kidnapping Luffy and heads for the sea. However, they encounter a local Sea Monster there and are attacked. Luffy is in a desperate situation... But again, Shanks saves the day. He outstares the Sea Monster and chases it away but in exchange, he loses his left arm... When Shanks leaves the village, he leaves his straw hat with Luffy. “Come bring it back to me someday! Once you've become a great pirate!” 10 years later, Luffy has grown up strong and he sets out for an adventure on a small boat. He again encounters the local Sea Monster for that fateful day. However, Luffy takes it down with a single blow of Gum-Gum Pistol. Luffy’s journey to become the King of the Pirates now begins!(Source: Crunchyroll)",7.88,33763,Toei Animation,Manga,,Shounen
One Piece: Umi no Heso no Daibouken-hen,Special, 2000,1,"['Action', 'Adventure', 'Fantasy']","The Straw Hats encounter a city in the middle of a whirlpool, called the Ocean's Navel, that is being destroyed by giant monsters. These monsters supposedly protect a treasure capable of granting wishes, but in the process of defeating these guardians, the crew ends up releasing another evil.  (aired after Episode 53)(Source: Wikipedia)",7.23,33660,Toei Animation,Manga,,Shounen
Haikyuu!! Tokushuu! Haru-kou Volley ni Kaketa Seishun,OVA, 2017,1,['Sports'],The OVA episode revisits the primary matches from the spring tournament and features interviews with players.(Source: MAL News),7.53,33265,Production I.G,Manga,"['School', 'Team Sports']",Shounen
Magikano,TV, 2006,13,"['Comedy', 'Fantasy', 'Romance']",Ayumi Mamiya is a witch cursed to lose her powers and only one boy can break the spell. Haruo Yoshikawa thinks he is a normal boy but unknown to him his three sisters have magical powers and keep him protected and ignorant about the existence of magic. Now Ayumi must wake up Haruo's latent powers to save herself but his sisters will have none of that.(Source: ANN),6.32,33240,Tokyo Kids,Manga,Harem,Shounen
Kyoukai no Rinne 2nd Season,TV, 2016,25,"['Comedy', 'Supernatural']","High school student Sakura Mamiya and impoverished death god Rinne Rokudou continue to confront the supernatural. Pulled into the problems of their quirky acquaintances, the pair again find themselves immersed in trouble.Ageha's black cat Oboro seeks revenge for alleged mistreatment and demands Ageha to nullify their contract. When she refuses to do so, a bitter quarrel breaks out between them. Meanwhile, the scheming Damashigami Company shows no sign of halting its wrongdoings, and the bat-like demon Masato continues to commit devious acts to pursue his long-awaited revenge on Rinne.For Sakura and Rinne, these paranormal complications never seem to end. As their saga continues to unfold, they must cope with these unusual circumstances as they appear, all while facing problems of their own.[Written by MAL Rewrite]",7.16,33119,Brain's Base,Manga,School,Shounen
Ai Tenchi Muyou!,TV, 2014,50,"['Comedy', 'Sci-Fi']",The franchise is celebrating its 20th anniversary with this new project.Note: The recap episodes are not included in the main episode count and are now included here.,6.15,33098,AIC PLUS+,Original,,Shounen
One Piece: Mezase! Kaizoku Yakyuu Ou,Movie, 2004,1,"['Comedy', 'Fantasy', 'Sports']",Luffy and crew takes on Arlong's crew in baseball. Announced by Bon Clay and Buggy.(Source: ANN),7.01,32802,Toei Animation,Manga,Team Sports,Shounen
Tantei Gakuen Q,TV, 2003,45,"['Comedy', 'Drama', 'Mystery']","Kyuu is your average boy with a knack for logic and reasoning. Desiring to become a detective, he finds out about the existence of the Dan Detective School (DDS); a famed school where students are allowed to bear arms. Together with Megu, a girl with photographic memory, the martial arts master Kinta, the genius programmer Kazuma and the mysterious Ryuu, Kyuu tackles many well planned out crimes, always seeking the truth.",7.75,32718,Pierrot,Manga,Detective,Shounen
Lupin III vs. Detective Conan,Special, 2009,1,"['Action', 'Adventure', 'Comedy', 'Mystery']","In a country called Vesparand, a new mineral with super stealth properties has been discovered which attracts Lupin's attention. At the same time the untimely deaths of Queen Sakura and her son, Prince Gill, leave Princess Mira next in succession to the throne. During a trip to Japan, Princess Mira finds her double in Ran and takes the opportunity to trade places, which ends with Ran being spirited away to Vesparand with Conan, Zenigata, Kogoro Mouri, Lupin and Fujiko in tow. There they meet a waiting Jigen and solve the mystery of the deaths of the Queen and Prince.(Source: ANN) ",7.78,32450,TMS Entertainment,,,Shounen
Urusei Yatsura (2022),TV, 2022,46,"['Comedy', 'Romance', 'Sci-Fi']","Not much is notable about the lecherous Ataru Moroboshi, but his extraordinary bad luck sticks out like the horns in an alien's head. When Earth is threatened by a fleet of alien invaders known as the Oni, Ataru is selected to represent humanity in a duel against one of them. It's a stroke of rare luck for Ataru that the duel is in fact a game of tag, and that his opponent is Lum, daughter of the Oni's leader, who places her personal dignity above victory—as Ataru finds out by seizing Lum's bikini top and with it, victory.However, misfortune kicks in again when Lum mistakes Ataru's promise to marry his girlfriend, Shinobu Miyake, as the desire to wed Lum herself, and decides she rather likes the idea. Wielding her influence as an alien princess, she moves in with him. Forced to deal with the consequences of his womanizing ways, Ataru must balance his crumbling relationship with Shinobu while keeping Lum happy, all the while flirting with every woman he meets. [Written by MAL Rewrite]",0,32396,David Production,Manga,,Shounen
Fight Ippatsu! Juuden-chan!!,TV, 2009,12,"['Comedy', 'Sci-Fi', 'Ecchi']","Meet Plug, an unusual girl from a parallel world. Plug is a ""Juuden-chan,"" capable of ""recharging"" people down on their luck, spreading good cheer wherever she goes!",6.64,32390,Studio Hibari,Manga,,Shounen
Touch,TV, 1985,101,"['Drama', 'Romance', 'Slice of Life', 'Sports']","The story centers around three characters—Uesugi Kazuya, his twin older brother Tatsuya, and Asakura Minami. Kazuya is the darling of his town as he's talented, hardworking, and the ace pitcher for his middle school baseball team. Tatsuya is a hopeless slacker who's been living the life of giving up the spotlight to Kazuya, despite the fact that he may be more gifted than him. Minami is the beautiful childhood girlfriend and for all intents, sister from next door who treats both of them as equals. Society largely assumes Kazuya and Minami will become the perfect couple, including Tatsuya. Yet as time progresses, Tatsuya grows to realize that he's willing to sacrifice anything for the sake of his brother, except at the expense of giving up Minami to Kazuya. And thus the story is told of Tatsuya trying to prove himself over his established younger brother, how it affects the relationship between the three, and both brothers' attempts to make Minami's lifelong dreams come true.",8.00,32326,Group TAC,Manga,"['Love Polygon', 'School', 'Team Sports']",Shounen
Kannagi: Moshimo Kannagi ga Attara...,Special, 2009,1,"['Comedy', 'Supernatural']",Unaired episode included in DVD Vol.7.In this episode they attempt to make a movie with some money they found lying on the ground.,7.06,32272,A-1 Pictures,Manga,"['School', 'Visual Arts']",Shounen
Karakai Jouzu no Takagi-san Movie,Movie, 2022,1,[],(No synopsis yet.),8.07,31734,Shin-Ei Animation,Manga,"['Iyashikei', 'Romantic Subtext', 'School']",Shounen
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,Special, 2015,1,"['Action', 'Comedy']","The Gintama crew gets together to present a preview for the upcoming arc, the biggest ever in the anime's history, and also discuss the difficulties involved in producing one mid-season. (Source: Crunchyroll)",8.11,31340,Bandai Namco Pictures,Manga,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
Code:Breaker OVA,OVA, 2012,3,"['Action', 'Comedy', 'Supernatural', 'Ecchi']","A three-volume OVA of Code:Breaker.  Each volume will be bundled with volumes 22-24 of the manga, respectively. Subtitles and release dates: Vol.1: ""code:extra 1,2,3 & Plus 1"", Dec 17, 2012 Vol.2: ""code:100 & extra HANAMI & Plus 2"", Feb 15, 2013 Vol.3: ""code:4koma Special Theater"", Apr 17, 2013",6.72,31334,Kinema Citrus,Manga,"['School', 'Super Power']",Shounen
Wagaya no Oinari-sama.,TV, 2008,24,"['Adventure', 'Fantasy', 'Supernatural']","The Mizuchi bloodline has long been hunted by Yokai, or monsters. Toru and Noboru Takagami are descendents of this bloodline, and under their grandmother's discretion, are given a secret weapon to combat these monsters. It is Tenko Kugen, a fox deity who can take the shape of a man or woman at will. The mischievous deity is accompanied by a shrine maiden, Ko, who will both live with the Takagami brothers at their house. Life just got complicated. (Source: NIS America) ",7.20,31138,Zexcs,Light novel,Magical Sex Shift,Shounen
Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,Movie, 2016,1,['Sports'],"Second of three compilation films of the Kuroko no Basket franchise.Seirin faces off with Yosen in the quarter finals of the Winter Cup. Facing Yosen’s impenetrable defense with Murasakibara at its center, Kuroko manages to shoot his first point. Meanwhile, the ace battle between Kagami and Himuro also heats up. An intense battle is held until the very end. Next, Seirin faces off with Kaijo in the semi finals. Cautious of Kaijo's ace, Kise, and his Perfect Copy ability, Seirin works fast and hard to take the lead. Kise hurts his leg and is benched, so Seirin thinks they now have their chance, but then Kaijo shows them exactly what they can do even without Kise.(Source: Crunchyroll)",7.71,31120,Production I.G,Manga,"['School', 'Team Sports']",Shounen
Major 2nd,TV, 2018,25,"['Comedy', 'Drama', 'Sports']","Daigo, the son of renowned baseball player Gorou Shigeno, believes he has to live up to his father's name by becoming an all-star player himself. With great dreams, as soon as he reaches fourth-grade, he promptly joins the same little league baseball team his dad played on, the Mifune Dolphins. However, things don't go as planned. After only the first couple of practices, Daigo's lack of talent and inherent baseball sense shows, and his confidence is crushed. Unable to bear the pressure of living up to his father, a baseball prodigy, he quits the team in less than a year.Two years later, now in sixth-grade, a transfer student joins Daigo's class. This student turns out to be Hikaru, the son of Gorou's lifelong friend and fellow baseball star, Toshiya Satou. One day, Daigo's mother receives a call from the Dolphins requesting players for a game, so she forces Daigo to attend. To Daigo's surprise, he finds Hikaru there. Even more shocking is that despite his father's occupation, Hikaru has never played baseball before!Unlike Daigo, though, Hikaru immediately picks up the game demonstrating excellent performance. Needless to say, Daigo and Hikaru are polar opposites of each other. But this friction will inevitably thrust both of these inexperienced children into the world their fathers cherish—the world of baseball.[Written by MAL Rewrite]",7.41,31022,OLM,Manga,Team Sports,Shounen
Mahoujin Guruguru (2017),TV, 2017,24,"['Adventure', 'Comedy', 'Fantasy']","Nike was a simple boy from Boering Village, and the last thing he ever wanted was to become a hero. But when a sign appears from the king of Ainshent Castle Town recruiting heroes to slay the Demon Lord Giri, Nike's father enthusiastically forces him out the door. Along with Kukuri, a member of the Migu Migu Clan, Nike sets out on an adventure to become the legendary hero that the world needs.As Nike and Kukuri travel across different continents, they attempt to learn the secrets of Guru Guru Magic, a strange but powerful type of magic used to seal Demon Lord Giri's power. While reluctantly taking on their assigned quest, the duo does not fail to acquire new comrades and have fun along the way.[Written by MAL Rewrite]",7.83,31002,Production I.G,Manga,,Shounen
Cyborg 009: The Cyborg Soldier,TV, 2001,50,"['Action', 'Adventure', 'Sci-Fi']","Skull, the evil leader of the terrorist organization known as Black Ghost, has nine powerful cyborgs under his control. But Dr. Isaac Gilmore, the Black Ghosts cybernetics scientist, decides to go rogue, helping the cyborgs turn against Skull and his evil organization.Black Ghost wishes to start the next major world war by flooding the market with weapons of mass destruction. It seems the nine brave cyborgs have their work cut out for them, as Black Ghost is determined to bring those nine cyborgs down.",7.26,30922,Japan Vistec,Manga,Mecha,Shounen
Amanchu! Advance,TV, 2018,12,"['Comedy', 'Slice of Life']",Second season of Amanchu!.,7.12,30377,J.C.Staff,Manga,"['Iyashikei', 'School']",Shounen
Ranma ½ OVA,OVA, 1993,6,"['Comedy', 'Romance']",Ranma Saotome continues his search for a way to become a normal teenage boy again. He gets into many hilarious situations involving the many girls in his life. One of the biggest challenges is overcoming the proposals from others who have found a suitable bride for Ranma. But he has his own worries and must muster up the best of his wits and martial arts to keep his sanity. It's not easy being desired by so many women (and men) and not breaking hearts of a few along the way. He just might be able to find it in his heart to confess to Akane or simply find another excuse that he can't marry such a tomboy girl. (Source: ANN),7.74,30372,"['Kitty Film Mitaka Studio', 'Studio Deen']",Manga,"['Magical Sex Shift', 'Martial Arts']",Shounen
One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,Special, 2005,1,"['Comedy', 'Fantasy']","In an alternate reality world that resembles Edo Period Japan, Luffy acts as a member of the police. This is made up of two adventures: in the first, Buggy makes trouble in the town; in the second, a mysterious girl named Vivi appears (aired after Episode 253). This special contains several cameos from characters throughout the entire series. A second pair of episodes were aired after episode 290, continuing this story, as part of the New Year's special.",7.21,30317,Toei Animation,Manga,Historical,Shounen
Beastars (Shin Shou),-, -,?,"['Drama', 'Slice of Life']",New Beastars sequel.,0,30110,Orange,Manga,"['Psychological', 'School']",Shounen
Saber Marionette J,TV, 1996,25,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Sci-Fi']","In the distant future, since the Earth has become overpopulated, efforts to find and colonize on other planets have begun. However, one of the ships, the ""Mesopotamia"" malfunctions and all but 6 of its inhabitants are all killed. the remaining 6 manage to escape to a nearby planet named ""Terra ll "", which is similar to Earth in many respects. However, all of them are male. Therefore, as to not let their efforts go to waste, they begin to set up 6 countries and to reproduce through cloning and genetic engineering. however, there are still no women, and to make up for it they create lifelike advanced female androids called ""Marionettes"" which do everyday chores and work. However, they are all emotionless machines. But one day, a ordinary boy named Otaru finds and awakens 3 special battle type Marionettes that have emotions due to a ""Maiden Circuit"" within them. It's up to him then to teach them and allow their emotions to grow, and when a nearby country threatens with world domination, it's up to to Otaru and his ""human"" Marionettes to protect their country.",7.34,30057,Studio Junio,Original,"['Harem', 'Martial Arts', 'Mecha']",Shounen
Kyou kara Ore wa!!,OVA, 1993,10,['Comedy'],"Two transfer students, Mitsuhashi Takashi and Itou Shinji, tired of their boring normal life and unpopularity decide to take their arrival at a new school as an opportunity to reinvent their image, and become delinquents! Itou's justice clashing with Mitsuhashi's mischievous ways, they initially antagonize one another but soon become fast friends. The delinquent duo set out on various misadventures to become the greatest delinquents in all Japan!",8.06,30048,Pierrot,Manga,Delinquents,Shounen
Magical☆Star Kanon 100%,OVA, 2013,1,[],Kanon spin-off OVA bundled with vol. 22 of the Kami nomi zo Shiru Sekai manga.(Source: Weekly Shonen Sunday),6.76,30035,Manglobe,Manga,"['Mahou Shoujo', 'Music']",Shounen
Mahou Sensei Negima!: Shiroki Tsubasa Ala Alba,OVA, 2008,3,"['Adventure', 'Comedy', 'Romance', 'Supernatural', 'Ecchi']",OVA episodes that are bundled with the limited edition of the manga volumes 23-25. First episode to cover chapters 176 and 177 of the manga. Second episode to cover chapters 178-180. And third episode to cover chapters 182 and 183.,7.42,29937,"['Shaft', 'Studio Pastoral']",Manga,"['Harem', 'Vampire']",Shounen
Kuroko no Basket: Last Game NG-shuu,Special, 2017,1,"['Comedy', 'Sports']","Animated bloopers, based on the extra section of the original manga, included with the BD/DVD release of Kuroko no Basket: Last Game.",7.75,29701,Production I.G,Manga,Team Sports,Shounen
Teekyuu 2,TV, 2013,12,['Comedy'],Second season of Teekyu series.,6.70,29624,MAPPA,Manga,School,Shounen
One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,Special, 2003,1,"['Action', 'Adventure', 'Fantasy']","The story opens on Pirate Zap's ship, where two of his crew, Bonnie and Max, are tired and want to escape, but unfortunately they have no money. Three children were being held captive on the ship overhear them. The eldest, Amanda, who's father was a pro treasure hunter, knows the whereabouts of a great treasure, and offers them a deal. If they help them make a clean escape, they could take all the treasure they wanted. They agree, and the five of them barely escape and make it onto a small island where they meet Luffy and his crew. Unfortunately they were pursued and Luffy and Amanda are captured and brought back to their boss, the head of the Bayan Pirates, who is also after the treasure. Now Luffy and the others must battle the Bayan pirates and find the treasure that Amanda's father had left for his children. Amanda, who has always resented adventure and treasure because her father was constantly gone in search for it, finally understands his feelings. (Source: ANN)",7.24,29598,Toei Animation,Manga,,Shounen
Dragon Ball Specials,Special, 1988,2,"['Comedy', 'Fantasy']","Specials included with the original series.Goku no Koutsuuanzen (Goku's Traffic Safety)Goku is heading to West City to attend Bulma's birthday party, and on the way he ends up learning the rules for getting through traffic. The movie was for children to watch so it would teach them how to get across a pedestrian crossing.Goku no Shouboutai (Goku's Fire Brigade)An episode for kids where Goku and the others work for the Fire brigade and explain how avoid problems with fire.",6.71,29407,Toei Animation,Manga,Super Power,Shounen
Yatogame-chan Kansatsu Nikki,TV, 2019,12,"['Comedy', 'Slice of Life']","After growing up in Tokyo, high school student Jin Kaito moves to Nagoya where he meets Yatogame Monaka, a fellow student who puts her Nagoya dialect on full display. With her cat-like appearance and unvarnished Nagoya dialect, Yatogame won't open up to him at all. This popular local comedy is increasing the status of Nagoya through observation of the adorable Yatogame-chan! (Source: Crunchyroll)",6.26,29363,"['Creators in Pack', 'Saetta']",4-koma manga,School,Shounen
Tenchi Muyou! GXP,TV, 2002,26,"['Action', 'Comedy', 'Sci-Fi']","From crashing his bike to falling in lakes, Seina Yamada just cannot shake the bad luck that follows him. But his fortune begins to change when he is forcibly recruited into the Galaxy Police and ends up capturing the most pirates in the force. Now, Seina is no longer just the unfortunate boy from Earth; he is a man that pirates have come to fear. Despite his reputation, Seina is still the same clumsy guy, but at least he has Amane Kaunaq, a former model, and Kiriko Masaki, his long time friend, to keep him together. With their help, Seina sets out on an adventure in the hopes of becoming a great Galaxy Police Officer.[Written by MAL Rewrite]",7.16,29192,AIC,Original,"['Detective', 'Harem', 'Mecha', 'Space']",Shounen
Shingeki no Kyojin Season 3 Specials,Special, 2018,7,['Comedy'],Shingeki no Kyojin Season 3 DVD/BD specials. They are chibi parody shorts; one video was included on each of the DVD/BDs for a total of seven. Each video contained three stories (essentially chibi parody short episode 38–59) which continued the chibi parody story from the previous chibi parody specials included on the DVD/BDs of the previous seasons.,7.50,29092,Studio Moriken,Manga,Parody,Shounen
Yuu☆Yuu☆Hakusho (Movie),Movie, 1993,1,"['Action', 'Adventure', 'Comedy', 'Supernatural']","Yusuke Urameshi is not exactly what you'd call an angel. In fact, some might call him down right devilish. But when he dies in an accident trying to save a child, he finds himself in the Spirit World. Unfortunately for Yusuke, his name is not listed in the Book of Enma, which means it was one big mistake! So he should return from the Spirit World, but must pass a few tests first, and become a detective of the spiritual world.So now Yusuke works in the Spirit World as a half-dead, half-alive agent for Koenma, son of the ruler of the Spirit World. This position does have its disadvantages, especially when you're trying to enjoy your summer vacation and Koenma gets kidnapped! So now Yusuke must interrupt his summer fun to find Koenma and trade the Golden Seal of King Enma for his life. But if someone other then King Enma has the Golden Seal there will be chaos in the Spirit World! What's a half-dead spirit detective to do?With the aide of his closest allies, Yusuke sets off for Magma Valley, to save the life of the one who saved his, and find out who's at the bottom of this evil conspiracy.(Source: AnimeNfo)",6.80,29083,Pierrot,Manga,"['Martial Arts', 'Mythology']",Shounen
Lupin III vs. Detective Conan: The Movie,Movie, 2013,1,"['Action', 'Comedy', 'Mystery']","It is a cross over between the series Lupin III and Detective Conan and takes place after the television special Lupin the 3rd vs Detective Conan. The plot follows Conan Edogawa who sets out to apprehend Arsène Lupin III, the suspect of stealing a jewel called Cherry Sapphire.(Souce: Wikipedia)",7.87,28985,TMS Entertainment,,,Shounen
Major: Message,OVA, 2010,1,"['Comedy', 'Drama', 'Sports']","Thirteen years after achieving major success with the Indiana Hornets, Gorou Honda's career as a pitcher ended abruptly after sustaining a horrible injury. Inspired by his father, who continued playing baseball despite major setbacks, Gorou plans to restart his baseball career and play in a new position. However, his strong dedication to train has puzzled his family, especially his young daughter Izumi, who is frustrated with the absence of her father from her lives. Faced by another tough obstacle, Gorou once again decides to prove his resolve through his beloved sport.[Written by MAL Rewrite]",8.17,28674,SynergySP,Manga,Team Sports,Shounen
Katte ni Kaizou,OVA, 2011,6,"['Comedy', 'Sci-Fi']","Katsu Kaizou is a very gullible, 17-year-old high school student and a believer in science fiction, aliens, ghosts, UFOs, conspiracies, etc. He thinks that everything going on around him is the result of some sort of alien plot to take over the world. Each story is pretty much self-contained and is completely bizarre. Kaizou joins the school's science club, makes new friends, and ends up coming in contact with all sorts of strange things like log people, deadly sushi, pee-blades, scary infections, robot invasions, ghosts, living dolls, and more!",6.88,28669,Shaft,Manga,"['Parody', 'School']",Shounen
Yowamushi Pedal Movie,Movie, 2015,1,['Sports'],"With the Inter-high over and as the end of summer approaches, Sakamichi trains intensely with Imaizumi Shunsuke and Naruko Shoukichi so he can carry on Team Sohoku’s spirit of supporting each other entrusted to him by Kinjou Shingo, Makishima Yusuke, and Tadokoro Jin, the third years who will be graduating before long. One day, Team Sohoku receives an invitation to the Kumamoto Fire Country Mountain Race, an invitational race for teams that performed well at the Inter-high, and their captain Kinjou decides their core Inter-high team will attend.(Source: Crunchyroll)",7.58,28589,TMS Entertainment,Manga,,Shounen
Black Clover: Jump Festa 2018 Special,Special, 2018,1,"['Comedy', 'Fantasy']",The special episode features the captains of the different squads plus Asta and Yuno participating in a quiz show.,6.35,28571,Pierrot,Manga,,Shounen
Tetsuwan Birdy,OVA, 1996,4,"['Action', 'Comedy', 'Sci-Fi']","Tsutomu, an average middle school kid busy studying for the final exams to enter high school runs into a man running from someone and gets caught up in the chase. In all the confusion he gets accidentally killed. Luckily Birdy (an interplanetary agent) knows a way to save him, unfortunately that means joining bodies to become one. So now he is stuck with this officer and along for the ride capturing criminals and saving lives.(Source: ANN)",7.09,28439,Madhouse,Manga,,Shounen
One Piece: Mamore! Saigo no Dai Butai,Special, 2003,1,"['Action', 'Adventure', 'Fantasy']","For many years, Ex-Marine Lieutenant Randolph and his troupe have put on a play aboard his ship. Having lost his family to pirates, Randolph wishes to put on plays that will give courage to those who have also lost their loved ones to pirates. Unfortunately, Randolph must retire soon, and he is now giving his last performance. Luffy and his crew come to see the play, and somehow manage to take part in it themselves. But from Randolph's past comes a vengeful subordinate with a diabolical plan who has finally become commander in order to capture Randolph. Luffy and his nakama now must prove to the people that not all pirates are scum, and protect Randolph's final farewell performance from the bitter commander. (aired after Episode 174)(Source: ANN)",7.34,28345,Toei Animation,Manga,,Shounen
Macross 7,TV, 1994,49,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Sci-Fi']","35 years have passed since Lynn Minmay had brought peace between the Zentradi and the humans in the events of Macross. Nekki Basara is a guitarist and a singer of the band Fire Bomber. Living in a less-developed part of the flying colony City 7 which is looking for a habitable planet, he composes and sings songs in the belief that music holds a greater power.During its flight, an unknown alien race appeared and started laying siege upon City 7. However, its attacks are not conventional -- instead of trying to destroy them, they steal what is known as ""spiritia"", rendering victims unresponsive and zombie-like. During these battles, Basara always goes out into the middle of the warzone, singing his songs and expecting friend and foe to listen and be moved by his music.(Source: ANN)",7.14,28319,Production Reed,Original,"['Mecha', 'Military', 'Music', 'Space']",Shounen
Saint Seiya: Soul of Gold,ONA, 2015,13,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","In the Underworld, during the fight against Hades, the 12 Gold Saints gave up their lives to destroy the Wailing Wall and allow Seiya and his friends to keep moving forward. Aioria and the Gold Saints, who should have disappeared, come back to life in this beautiful Earth full of light. How have they resurrected if they were supposed to be dead? While the big mystery remains, Aioria gets involved in a new battle and when his Cosmo exceeds its limits.. a change happens to the Leo Cloth!(Source: AniChart/AniList)",7.06,28027,"['Bridge', 'Toei Animation']",Manga,,Shounen
Orient: Awajishima Gekitou-hen,TV, 2022,12,"['Action', 'Fantasy']","After Musashi rescues Michiru Saruwatari from a demon, his friend Kojirou Kanemaki discovers that his father was a member of the Uesugi clan. Determined to learn more about his own past, Kojirou—alongside his Kanemaki clansmen—decides to participate in Uesugi's punitive expedition against the demon lord of Awajima Island: Yamata no Orochi, an eight-headed dragon that threatens to engulf the entire region.However, upon joining Uesugi's military alliance, Musashi faces the harsh reality of fighting against powerful demons. Humiliated by his lack of power and inability to work in groups, he has to learn how to cooperate with his newfound allies. Meanwhile, the Obsidian Eight—a group pursuing the Obsidian Goddess that dwells within Musashi's body—resumes its hunt for Musashi, and plans to thwart the ongoing island operation. As the situation grows chaotic, Musashi and his friends must foil the machinations of the various factions conspiring to seize the Obsidian Goddess.[Written by MAL Rewrite]",7.17,27971,A.C.G.T.,Manga,,Shounen
